Exercise Name
Bench Press (Barbell)
Squat (Barbell)
Incline Bench Press (Dumbbell)
Incline Row (Barbell)
Overhead Press (Barbell)
Pull Up
Incline Curl (Dumbbell)
Triceps Pushdown (Cable - Straight Bar)
Incline Triceps Extension (Dumbbell)
Lateral Raise (Dumbbell)
Hanging Leg Raise
Cable Twist
Cable Crunch
Concentration Curl (Dumbbell)
Hip Thrust (Barbell)
Contralateral Split Squat
Seated Leg Curl (Machine)
Leg Extension (Machine)
Seated Calf Raise (Plate Loaded)
Deadlift (Barbell)
Bent Over Row (Barbell)
Overhead Press (Dumbbell)
Chin Up
Iso-Lateral Row (Machine)
Chest Dip
Lateral Raise (Cable)
Running (Treadmill)
Bicep Curl (Barbell)
Glute Ham Raise
Seated Overhead Press (Barbell)
Lat Pulldown (Cable)
Bicep Curl (Dumbbell)
Hammer Curl (Dumbbell)
Seated Leg Press (Machine)
Seated Overhead Press (Dumbbell)
Lying Leg Curl (Machine)
Triceps Extension (Barbell)
Lat Pulldown (Machine)
Reverse Fly (Machine)
Shrug (Dumbbell)
Romanian Deadlift (Barbell)
Leg Press
Standing Calf Raise (Dumbbell)
One Arm Tricep Pushdown
Face Pull (Cable)
Bulgarian Split Squat
Incline Bench Press (Barbell)
Iso-Lateral Chest Press (Machine)
Front Squat (Barbell)
Standing Calf Raise (Barbell)
Incline Chest Fly (Dumbbell)
Upright Row (Barbell)
Shoulder Press (Machine)
Lat Pulldown - Underhand (Cable)
Seated Row (Machine)
Upright Row (Cable)
Close Grip Lat Pulldoen
Sumo Deadlift (Barbell)
Bench Press - Close Grip (Barbell)
Hip Adductor (Machine)
Chest Press (Machine)
Triceps Extension (Dumbbell)
T Bar Row
Hip Abductor (Machine)
ATG Squat
Roll
Stretching
Front Raise (Barbell)
Dumbell chest supported row
Neutral Grip Lat Pulldown
Hack Squat
Triceps Extension (Cable)
Bicep Curl (Cable)
Tricep Pushdown (Rope)
Preacher Curl (Barbell)
Snatch (Barbell)
Hammer Curl (Cable)
Pin Squat
Knee Raise (Captain's Chair)
Back Extension
Shin Curls
Seated Wide-Grip Row (Cable)
Reverse Fly (Cable)
Cable Crossover
Stiff Leg Deadlift (Dumbbell)
Standing Calf Raise (Smith Machine)
Bent Over Row - Underhand (Barbell)
Seated Row (Cable)
Pec Deck (Machine)
Lat Pullthrough
Seated Lateral Raise
Preacher Curl (Machine)
Dynamic Stretching
Pause Overhead Press
Pause Bent Over Row
Pause Sumo Deadlift
Pause Bench Press
Pause Deadlift
Pause Squat
Bent Over Row (Dumbbell)
Bent Over One Arm Row (Dumbbell)
Skullcrusher (Barbell)
Standing Calf Raise (Machine)
Back Extension (Machine)
Practice Squat
Calf Stretches
Hip Stretches
Practice Bench
Full Can
Rotates
Calf Rubs
Calf Wall
Band Exercuses
Single Leg Squats
90-90 Stretches
Practice Sumo
Practice Deadlift
Squat (Machine)
Lat Pulldown (Single Arm)
Hip Extension
Bent Over cable row
Shoulder Press (Plate Loaded)
Lateral Raise (Machine)
Triceps Extension (Machine)
Low Row
Shoulder Stretch
Rack Pull (Barbell)
Seated Palms Up Wrist Curl (Dumbbell)
Seal Row
Seated Dip
Front Raise (Dumbbell)
Calf Press on Seated Leg Press
Shrug (Barbell)
Cable Wrist Curl
Crunch (Machine)
Pin Press
Low Bar Squat (Barbel)
Reverse Fly (Dumbbell)
Preacher Curl (Dumbbell)
Triceps Extension (Cable - Straight Bar)
Face Away Bayesian Curl (Cable)
Leg Extension (Plate Loaded)
Preacher Hammer Curl (Dumbell)
Pullover (Machine)
Low Chest Fly (Cable)
Reverse Curl (Barbell)
smith machine bulgarian split squat
Bicep Curl (Machine)
Lat Pullthrough (Machine)
One Arm Seated Row
Decline Crunch
Squat (Bodyweight)
Iso Lateral Leg Press
Box Jump (With Height)
Triceps Extension
pushdown V bar
Arm Pulldown
Chest Fly
Romanian Deadlift (Dumbbell)
Shrug (Machine)
Bicycle Crunch
Crunch
snatch grip deadlift
Calf Press on Leg Press
Incline Chest Press (Machine)
Goblet Squat (Kettlebell)
Single Leg Press
Deficit Deadlift (Barbell)
Chest Fly (Band)
Pendlay Row (Barbell)
Pause Benchpress
pendulum squat
Glute Kickback (Machine)
Lunge (Barbell)
pinned Squat
Incline Bench Press (Smith Machine)
single Arm Tricep pushdown
Overhead Press (Smith Machine)
spider Curl
Bench Press (Dumbbell)
Lunge (Dumbbell)
Decline Bench Press (Dumbbell)
Box Jump
Incline Row (Dumbbell)
Block Sumo Deadlift
Plank
single leg RDL
Chest Fly (Dumbbell)
reverse hypertension
BW Burpee
BW mount climber
Squat Jump
Shadow Boxing
running In Place
Tricep Pushdown Rope
back plank
Larsen Press
incline Chest Fly
Incline DB Seal Row
Deadlift High Pull (Barbell)
Front Raise (Cable)
Side Bend (Dumbbell)
Triceps Dip
Close Grip Latpulldown
Sit Up
Squat (Smith Machine)
Incline Bicep Curl
Shrug (Smith Machine)
One Arm Pulldown
Bench Dip
Push Up
Trap Bar Deadlift
Single Arm Extension
Bent Over Raise
Chest supported Row
Power Clean
Seated Dips
farmer walk
Cable Kickback
15 Degree bench
15 Degree Incline
Belt Squat
High row
V Up
Box Squat (Barbell)
Decline Chest Press
Hanging Knee Raise
